season,team_count,reg_weeks,auction_draft,has_rosters,has_tx,yardage_mode,roster_weeks,matchups,draft_picks,transactions
2014,10,13,0,0,0,BUCKET,0,150,160,0
2015,10,13,0,0,0,BUCKET,0,150,160,0
2016,10,13,1,0,0,BUCKET,0,150,160,0
2017,12,13,1,0,0,BUCKET,0,190,180,0
2018,12,13,1,1,1,BUCKET,2850,190,180,4326
2019,12,13,1,1,1,FRACTIONAL,2849,190,180,1506
2020,12,13,1,1,1,FRACTIONAL,2849,190,180,2071
2021,12,14,1,1,1,FRACTIONAL,3156,202,180,1640
2022,12,14,1,1,1,FRACTIONAL,3149,202,180,1665
2023,12,14,1,1,1,FRACTIONAL,3150,202,180,1526
2024,12,14,1,1,1,FRACTIONAL,3377,202,192,1674
2025,12,14,1,1,1,FRACTIONAL,3382,202,192,1407
