overall,team,player,position,bid
1,San Diego Shadowcöcks,Broncos D/ST,DST,4
2,Tijuana Sanchitos,Ja'Marr Chase,WR,69
3,Goleta Gringos,Puka Nacua,WR,50
4,Poulsbo Pollywogs,A.J. Brown,WR,39
5,Grand Teeton Feelers,Saquon Barkley,RB,70
6,Tijuana Sanchitos,Bijan Robinson,RB,70
7,DC Mighty Cucks,Ashton Jeanty,RB,48
8,Grand Teeton Feelers,Brian Robinson Jr.,RB,6
9,Westeros Warlords,Jahmyr Gibbs,RB,76
10,Poulsbo Pollywogs,Lamar Jackson,QB,31
11,Squaw Valley Skinners,Jalen Hurts,QB,26
12,DC Mighty Cucks,Bucky Irving,RB,45
13,Pasco Pounders,Steelers D/ST,DST,3
14,Poulsbo Pollywogs,Justin Jefferson,WR,57
15,San Diego Shadowcöcks,Christian McCaffrey,RB,60
16,Grand Teeton Feelers,Seahawks D/ST,DST,2
17,Fairview Fat Cats,Derrick Henry,RB,68
18,Pasco Pounders,Brian Thomas Jr.,WR,40
19,Patagonia Pipers,Brandon Aubrey,K,3
20,Fairview Fat Cats,De'Von Achane,RB,41
21,San Diego Shadowcöcks,Jonathan Taylor,RB,55
22,Patagonia Pipers,CeeDee Lamb,WR,57
23,Westeros Warlords,Kyren Williams,RB,50
24,Squaw Valley Skinners,Malik Nabers,WR,54
25,Patagonia Pipers,Chase Brown,RB,47
26,Pasco Pounders,Amon-Ra St. Brown,WR,46
27,Squaw Valley Skinners,Omarion Hampton,RB,32
28,Tijuana Sanchitos,RJ Harvey,RB,21
29,Goleta Gringos,Josh Allen,QB,36
30,San Diego Shadowcöcks,Rashee Rice,WR,13
31,Squaw Valley Skinners,George Kittle,TE,27
32,DC Mighty Cucks,Brock Bowers,TE,35
33,Goleta Gringos,Josh Jacobs,RB,70
34,Pasco Pounders,Nico Collins,WR,48
35,Westeros Warlords,Breece Hall,RB,25
36,Fairview Fat Cats,Joe Burrow,QB,27
37,Poulsbo Pollywogs,Marquise Brown,WR,2
38,Honolulu Horndogs,Tee Higgins,WR,28
39,Squaw Valley Skinners,James Conner,RB,19
40,Patagonia Pipers,Ollie Gordon II,RB,6
41,DC Mighty Cucks,Jayden Daniels,QB,35
42,Pasco Pounders,Sam LaPorta,TE,5
43,San Diego Shadowcöcks,Trey McBride,TE,35
44,Grand Teeton Feelers,Tyreek Hill,WR,29
45,Honolulu Horndogs,Drake London,WR,41
46,Honolulu Horndogs,Ladd McConkey,WR,30
47,Poulsbo Pollywogs,James Cook,RB,40
48,Grand Teeton Feelers,TreVeyon Henderson,RB,28
49,Goleta Gringos,Davante Adams,WR,22
50,Honolulu Horndogs,Chuba Hubbard,RB,29
51,Grand Teeton Feelers,Matthew Stafford,QB,1
52,Squaw Valley Skinners,David Montgomery,RB,17
53,Westeros Warlords,T.J. Hockenson,TE,8
54,Tijuana Sanchitos,Terry McLaurin,WR,28
55,Patagonia Pipers,Jaxon Smith-Njigba,WR,25
56,Westeros Warlords,DK Metcalf,WR,19
57,Honolulu Horndogs,Drake Maye,QB,1
58,Pasco Pounders,Alvin Kamara,RB,23
59,San Diego Shadowcöcks,Dak Prescott,QB,2
60,Patagonia Pipers,D'Andre Swift,RB,13
61,Honolulu Horndogs,Kenneth Walker III,RB,34
62,Fairview Fat Cats,Marvin Harrison Jr.,WR,18
63,Patagonia Pipers,Isiah Pacheco,RB,16
64,Westeros Warlords,Zach Charbonnet,RB,9
65,Fairview Fat Cats,Mike Evans,WR,17
66,DC Mighty Cucks,DeVonta Smith,WR,10
67,Patagonia Pipers,Patrick Mahomes,QB,6
68,Fairview Fat Cats,Courtland Sutton,WR,8
69,Poulsbo Pollywogs,Rome Odunze,WR,8
70,Fairview Fat Cats,Texans D/ST,DST,2
71,Patagonia Pipers,Jacory Croskey-Merritt,RB,12
72,Squaw Valley Skinners,Xavier Worthy,WR,9
73,Fairview Fat Cats,DJ Giddens,RB,1
74,Grand Teeton Feelers,Garrett Wilson,WR,13
75,Grand Teeton Feelers,Chris Godwin,WR,1
76,DC Mighty Cucks,Zay Flowers,WR,7
77,Goleta Gringos,Ravens D/ST,DST,2
78,San Diego Shadowcöcks,Travis Hunter,WR,5
79,Grand Teeton Feelers,Tony Pollard,RB,18
80,San Diego Shadowcöcks,Calvin Ridley,WR,10
81,DC Mighty Cucks,Jordan Mason,RB,4
82,Honolulu Horndogs,Tetairoa McMillan,WR,10
83,Pasco Pounders,Nick Chubb,RB,6
84,San Diego Shadowcöcks,DJ Moore,WR,6
85,Pasco Pounders,Aaron Jones,RB,11
86,Poulsbo Pollywogs,Jameson Williams,WR,8
87,Goleta Gringos,Cooper Kupp,WR,2
88,Squaw Valley Skinners,Cardinals D/ST,DST,1
89,Grand Teeton Feelers,Jaylen Waddle,WR,7
90,Grand Teeton Feelers,Deebo Samuel,WR,4
91,Grand Teeton Feelers,Tyrone Tracy Jr.,RB,10
92,Squaw Valley Skinners,Cam Skattebo,RB,3
93,Honolulu Horndogs,Emeka Egbuka,WR,4
94,Grand Teeton Feelers,Mark Andrews,TE,2
95,Goleta Gringos,Jaylen Warren,RB,8
96,Fairview Fat Cats,George Pickens,WR,8
97,Squaw Valley Skinners,Baker Mayfield,QB,3
98,Pasco Pounders,J.K. Dobbins,RB,7
99,Honolulu Horndogs,Javonte Williams,RB,3
100,Goleta Gringos,Austin Ekeler,RB,2
101,Westeros Warlords,Xavier Legette,WR,1
102,Grand Teeton Feelers,Justin Fields,QB,3
103,Grand Teeton Feelers,Travis Kelce,TE,4
104,Poulsbo Pollywogs,Kaleb Johnson,RB,6
105,Honolulu Horndogs,Tyler Warren,TE,4
106,Poulsbo Pollywogs,David Njoku,TE,2
107,Squaw Valley Skinners,Chris Olave,WR,2
108,San Diego Shadowcöcks,Chase McLaughlin,K,1
109,Honolulu Horndogs,Tank Bigsby,RB,2
110,DC Mighty Cucks,Jaydon Blue,RB,2
111,Grand Teeton Feelers,Chris Boswell,K,2
112,Pasco Pounders,Trey Benson,RB,4
113,Westeros Warlords,Patriots D/ST,DST,1
114,DC Mighty Cucks,Ricky Pearsall,WR,3
115,Fairview Fat Cats,Braelon Allen,RB,3
116,Goleta Gringos,Kyle Pitts,TE,1
117,Honolulu Horndogs,Rhamondre Stevenson,RB,4
118,Tijuana Sanchitos,Jauan Jennings,WR,1
119,DC Mighty Cucks,Stefon Diggs,WR,1
120,Squaw Valley Skinners,Tyjae Spears,RB,2
121,Fairview Fat Cats,Evan Engram,TE,2
122,Honolulu Horndogs,Travis Etienne Jr.,RB,5
123,Squaw Valley Skinners,Cameron Dicker,K,1
124,Westeros Warlords,Jayden Reed,WR,1
125,Pasco Pounders,Jake Elliott,K,1
126,Patagonia Pipers,Khalil Shakir,WR,1
127,DC Mighty Cucks,Matthew Golden,WR,2
128,Honolulu Horndogs,Kyler Murray,QB,3
129,San Diego Shadowcöcks,Bo Nix,QB,2
130,Patagonia Pipers,Jerry Jeudy,WR,3
131,Westeros Warlords,Keon Coleman,WR,2
132,San Diego Shadowcöcks,Quinshon Judkins,RB,2
133,Westeros Warlords,Jerome Ford,RB,2
134,Squaw Valley Skinners,Jakobi Meyers,WR,1
135,Westeros Warlords,Caleb Williams,QB,1
136,Pasco Pounders,Jordan Love,QB,1
137,Patagonia Pipers,Woody Marks,RB,1
138,Squaw Valley Skinners,Jordan Addison,WR,2
139,Honolulu Horndogs,Bills D/ST,DST,1
140,Tijuana Sanchitos,C.J. Stroud,QB,1
141,Westeros Warlords,Keaton Mitchell,RB,2
142,San Diego Shadowcöcks,Josh Downs,WR,1
143,Fairview Fat Cats,Jake Bates,K,1
144,San Diego Shadowcöcks,Ray Davis,RB,2
145,Pasco Pounders,Joe Mixon,RB,2
146,Westeros Warlords,Jayden Higgins,WR,1
147,Pasco Pounders,Brock Purdy,QB,1
