season,phase,sides
2014,playoff_unspecified,20
2014,regular,130
2015,playoff_unspecified,20
2015,regular,130
2016,playoff_unspecified,20
2016,regular,130
2017,playoff_unspecified,34
2017,regular,156
2018,championship,10
2018,consolation,24
2018,regular,156
2019,championship,10
2019,consolation,24
2019,regular,156
2020,championship,10
2020,consolation,24
2020,regular,156
2021,championship,10
2021,consolation,24
2021,regular,168
2022,championship,10
2022,consolation,24
2022,regular,168
2023,championship,10
2023,consolation,24
2023,regular,168
2024,championship,10
2024,consolation,24
2024,regular,168
2025,championship,10
2025,consolation,24
2025,regular,168
