team,team_id,pass_yds,pass_td,comp_pct,rush_yds,rush_td,ypc,rec_yds,rec,ypr,pbp_epa,xtd,td_luck
Goleta Gringos,3,3312.0,23.0,67.3,2350.0,33.0,4.37,3914.0,351.0,11.15,244.5,65.0,11.0
Patagonia Pipers,10,3640.0,22.0,63.2,2676.0,19.0,4.78,4225.0,351.0,12.04,243.9,68.9,-2.9
Fairview Fat Cats,2,3482.0,25.0,70.3,2565.0,17.0,4.56,3678.0,298.0,12.34,210.6,68.3,-1.3
San Diego Shadowcöcks,4,3843.0,32.0,67.8,3201.0,37.0,4.11,3702.0,336.0,11.02,180.4,87.5,5.5
Westeros Warlords,8,3161.0,22.0,60.3,2971.0,28.0,5.13,2858.0,270.0,10.59,152.3,62.8,9.2
Grand Teeton Feelers,7,3452.0,25.0,68.7,2845.0,19.0,4.52,3329.0,338.0,9.85,133.1,61.7,15.3
Pasco Pounders,13,3078.0,22.0,65.5,1720.0,8.0,4.44,3599.0,316.0,11.39,131.8,50.2,2.8
Poulsbo Pollywogs,14,3312.0,32.0,67.2,2284.0,19.0,4.57,3230.0,269.0,12.01,100.7,61.7,3.3
Honolulu Horndogs,11,2944.0,19.0,61.7,2511.0,18.0,4.39,4025.0,348.0,11.57,94.8,61.8,5.2
Squaw Valley Skinners,1,2837.0,19.0,64.8,2338.0,20.0,4.17,2885.0,296.0,9.75,87.5,61.6,1.4
DC Mighty Cucks,6,3190.0,21.0,64.8,2232.0,15.0,3.8,3674.0,322.0,11.41,57.0,53.5,3.5
Tijuana Sanchitos,9,2898.0,21.0,64.2,2402.0,14.0,5.01,3636.0,336.0,10.82,39.8,59.8,2.2
