table,rows
dim_member,21
dim_owner,18
dim_player,4854
dim_scoring,254
dim_season,12
dim_team,138
fact_cap_hit,30611
fact_contract,31893
fact_draft_pick,2124
fact_matchup,2220
fact_nfl_week,208168
fact_player_season_par_reconstructed,569
fact_player_season_points,7251
fact_player_week_par,24762
fact_projection_week,3391
fact_roster_week,24762
fact_roto_team_season,240
fact_roto_team_week,2776
fact_trade,181
fact_trade_item,586
fact_transaction,15815
fact_xtd_player_week,60662
meta_import_run,3
meta_import_source,6
player_season,2546
