name,pos,starts,fp,xfp,fpoe,wopr,tgt_share,ay_share,rz_opp,gl_opp,xtd,td_luck
Jonathan Taylor,RB,15,302.3,244.8,57.5,0.167,0.117,-0.012,74.0,10.0,15.5,4.5
Jahmyr Gibbs,RB,16,272.6,227.5,45.1,0.253,0.162,0.016,67.0,3.0,11.7,6.3
James Cook,RB,16,267.7,225.2,42.5,0.154,0.099,0.007,59.0,9.0,12.2,1.8
Josh Allen,QB,15,340.1,301.6,38.5,,,,97.0,15.0,31.7,7.3
Derrick Henry,RB,16,251.9,214.4,37.5,0.098,0.064,0.003,66.0,13.0,15.9,0.1
Jalen Hurts,QB,16,301.1,268.3,32.8,,,,81.0,11.0,25.4,7.5
Bijan Robinson,RB,16,287.5,259.7,27.8,0.311,0.198,0.021,48.0,5.0,11.2,-0.1
Tucker Kraft,TE,8,85.2,60.2,25.0,0.351,0.19,0.11,12.0,0.0,2.6,3.4
Jaylen Warren,RB,14,162.4,140.0,22.4,0.128,0.109,-0.06,45.0,9.0,10.9,-2.9
TreVeyon Henderson,RB,10,132.9,111.4,21.5,0.164,0.11,0.0,40.0,4.0,8.2,1.8
De'Von Achane,RB,16,255.8,234.6,21.2,0.289,0.188,0.014,43.0,1.0,8.2,3.8
Trevor Lawrence,QB,6,135.6,117.1,18.4,,,,112.0,9.0,33.0,5.0
Drake Maye,QB,15,320.4,302.6,17.8,0.017,0.022,-0.023,99.0,15.0,32.0,3.0
Brock Purdy,QB,3,70.4,53.0,17.4,,,,64.0,5.0,19.7,3.3
Matthew Stafford,QB,7,142.1,125.3,16.8,,,,115.0,14.0,37.1,8.9
Rico Dowdle,RB,12,160.0,144.9,15.1,0.152,0.117,-0.033,39.0,3.0,7.3,-0.3
Sean Tucker,RB,2,36.6,22.4,14.2,0.078,0.054,-0.003,24.0,7.0,6.7,1.3
D'Andre Swift,RB,15,189.8,175.9,13.9,0.135,0.094,-0.007,41.0,5.0,9.2,0.8
Sam Darnold,QB,2,32.1,19.1,13.0,,,,73.0,5.0,23.0,2.0
Jordan Love,QB,6,99.0,88.4,10.6,,,,72.0,5.0,20.9,2.1
Jacoby Brissett,QB,6,109.3,99.5,9.8,,,,98.0,5.0,26.8,-2.8
Jordan Mason,RB,6,56.5,47.3,9.2,0.075,0.062,-0.03,30.0,3.0,4.9,1.1
Daniel Jones,QB,11,174.1,165.0,9.1,,,,76.0,8.0,22.9,1.1
Tory Horton,WR,1,16.8,7.9,8.9,0.316,0.121,0.192,4.0,0.0,1.5,3.5
Jacory Croskey-Merritt,RB,5,47.8,39.3,8.5,0.07,0.051,-0.009,32.0,6.0,7.5,0.5
Bo Nix,QB,5,77.3,69.4,8.0,0.046,0.028,0.006,105.0,9.0,31.2,-1.2
Jayden Daniels,QB,5,94.4,86.8,7.6,,,,30.0,6.0,10.8,-0.8
Lamar Jackson,QB,9,151.6,144.2,7.4,,,,64.0,8.0,19.3,3.7
Cam Skattebo,RB,5,72.8,65.5,7.3,0.189,0.129,-0.008,27.0,5.0,6.1,0.9
AJ Barner,TE,1,10.3,3.8,6.5,0.277,0.147,0.082,16.0,3.0,4.8,2.2
Travis Etienne Jr.,RB,13,160.7,154.3,6.4,0.135,0.098,-0.017,64.0,3.0,11.5,1.5
George Kittle,TE,10,101.6,95.5,6.1,0.451,0.215,0.185,14.0,1.0,4.1,2.9
Emanuel Wilson,RB,1,24.5,18.6,5.9,0.073,0.063,-0.032,26.0,2.0,4.2,-1.2
Caleb Williams,QB,12,226.2,220.6,5.6,0.081,0.059,-0.01,95.0,11.0,29.9,1.1
Luther Burden III,WR,1,19.8,14.3,5.5,0.271,0.131,0.107,4.0,0.0,1.5,0.5
Samaje Perine,RB,1,16.0,10.9,5.1,0.076,0.056,-0.013,17.0,2.0,3.6,-0.6
Baker Mayfield,QB,8,130.3,125.3,5.1,,,,74.0,6.0,24.2,2.8
Breece Hall,RB,12,128.3,123.4,4.8,0.164,0.113,-0.009,34.0,1.0,6.8,-0.8
Aaron Rodgers,QB,2,26.2,21.7,4.5,0.016,0.03,-0.042,82.0,8.0,26.9,-1.9
Zach Charbonnet,RB,12,127.2,123.2,4.0,0.126,0.076,0.02,54.0,12.0,12.4,-0.4
Tyler Shough,QB,1,21.9,18.3,3.7,,,,37.0,4.0,12.6,0.4
Devin Neal,RB,1,14.4,11.1,3.3,0.104,0.079,-0.02,6.0,0.0,1.6,0.4
Terrell Jennings,RB,1,10.4,7.1,3.3,0.058,0.036,0.006,4.0,1.0,1.0,-0.0
Kyren Williams,RB,16,219.2,216.2,3.0,0.144,0.086,0.024,63.0,11.0,14.0,-1.0
J.K. Dobbins,RB,8,77.6,74.6,3.0,0.061,0.046,-0.014,20.0,5.0,5.2,-1.2
Tez Johnson,WR,2,20.5,18.1,2.4,0.234,0.092,0.148,9.0,0.0,2.0,3.0
Jared Goff,QB,9,149.4,147.1,2.3,,,,100.0,3.0,30.8,3.2
Kenneth Gainwell,RB,4,52.5,50.6,1.9,0.234,0.163,-0.016,40.0,5.0,10.1,-2.1
Brenton Strange,TE,1,2.2,0.7,1.5,0.32,0.156,0.123,10.0,0.0,2.9,0.1
Quinshon Judkins,RB,12,135.0,133.6,1.4,0.139,0.097,-0.009,33.0,6.0,7.5,-0.6
Joe Flacco,QB,1,9.6,8.3,1.3,,,,53.0,6.0,18.9,-2.9
Darren Waller,TE,3,25.0,23.7,1.3,0.421,0.165,0.248,7.0,0.0,2.2,3.8
J.J. McCarthy,QB,1,6.0,4.9,1.1,,,,47.0,8.0,15.4,-0.4
Colby Parkinson,TE,3,26.9,25.9,1.0,0.206,0.117,0.048,22.0,1.0,5.3,2.7
Cooper Kupp,WR,1,1.2,0.7,0.5,0.341,0.16,0.145,12.0,0.0,3.3,-1.3
Tyjae Spears,RB,1,6.2,5.8,0.4,0.163,0.133,-0.057,17.0,0.0,3.5,-1.6
Jaxson Dart,QB,5,89.1,88.7,0.4,,,,75.0,6.0,20.1,3.9
Kyler Murray,QB,2,33.6,33.3,0.3,,,,25.0,3.0,8.6,-1.6
Kaleb Johnson,RB,1,-0.2,-0.2,0.0,0.024,0.037,-0.045,4.0,0.0,0.4,-0.4
Justice Hill,RB,1,0.2,0.2,0.0,0.182,0.125,-0.008,4.0,1.0,1.1,1.9
Mike Gesicki,TE,1,4.7,5.0,-0.3,0.247,0.103,0.131,7.0,1.0,2.5,-0.5
Hassan Haskins,RB,1,2.3,2.6,-0.3,0.049,0.032,0.003,2.0,0.0,0.2,-0.2
Tyrone Tracy Jr.,RB,6,59.9,60.7,-0.8,0.189,0.124,0.003,26.0,0.0,4.4,-0.4
Michael Mayer,TE,1,1.0,2.0,-1.0,0.322,0.149,0.142,6.0,0.0,2.0,-1.0
Joe Burrow,QB,7,113.3,114.4,-1.0,,,,44.0,6.0,16.0,1.0
Jake Tonges,TE,1,12.0,13.3,-1.3,0.264,0.135,0.087,7.0,2.0,3.1,1.9
Rashid Shaheed,WR,3,22.6,24.1,-1.5,0.4,0.162,0.224,10.0,0.0,3.3,-1.3
Taysom Hill,QB,3,1.4,2.8,-1.5,0.116,0.067,0.022,15.0,3.0,3.9,-1.9
Nick Chubb,RB,1,1.7,3.4,-1.7,0.085,0.054,0.006,15.0,4.0,4.2,-1.2
Michael Penix Jr.,QB,1,3.8,5.5,-1.8,,,,35.0,2.0,11.9,-1.9
RJ Harvey,RB,8,90.7,92.5,-1.8,0.146,0.102,-0.01,40.0,5.0,8.9,3.1
Dalton Kincaid,TE,1,3.7,5.5,-1.8,0.369,0.149,0.207,8.0,0.0,2.4,2.6
Dallas Goedert,TE,9,72.6,74.5,-1.9,0.418,0.208,0.152,15.0,3.0,5.6,5.4
Kenneth Walker III,RB,16,147.6,149.5,-1.9,0.116,0.088,-0.028,37.0,3.0,6.8,-1.8
Trey Benson,RB,1,5.4,7.5,-2.1,0.175,0.129,-0.027,5.0,1.0,1.6,-1.6
Tommy Tremble,TE,1,0.7,2.8,-2.1,0.178,0.091,0.073,5.0,0.0,1.6,0.4
Ashton Jeanty,RB,15,176.5,178.7,-2.2,0.192,0.157,-0.062,44.0,3.0,9.0,1.0
Kyle Monangai,RB,3,36.3,38.5,-2.2,0.104,0.069,0.0,39.0,3.0,7.5,-2.5
Tyler Allgeier,RB,1,6.7,8.9,-2.2,0.074,0.055,-0.011,33.0,5.0,7.1,0.9
Dak Prescott,QB,11,236.6,239.1,-2.6,,,,116.0,14.0,37.6,-5.6
Christian Watson,WR,3,30.3,33.1,-2.8,0.548,0.203,0.348,7.0,1.0,2.4,3.6
Kayshon Boutte,WR,2,1.5,4.4,-2.9,0.33,0.12,0.215,4.0,1.0,1.9,4.1
Darius Slayton,WR,2,11.2,14.3,-3.1,0.407,0.155,0.25,6.0,0.0,2.1,-1.1
Justin Fields,QB,4,77.9,81.0,-3.1,0.078,0.038,0.028,37.0,3.0,10.6,0.4
Tre Tucker,WR,1,4.9,8.7,-3.8,0.469,0.19,0.264,11.0,0.0,3.6,1.4
Chris Moore,WR,1,5.9,9.7,-3.8,0.29,0.113,0.172,2.0,0.0,0.6,0.4
Elic Ayomanor,WR,1,1.8,5.7,-3.9,0.505,0.185,0.325,8.0,0.0,3.2,0.8
Bucky Irving,RB,8,84.6,88.5,-3.9,0.163,0.119,-0.023,22.0,0.0,3.6,0.4
James Conner,RB,3,25.3,29.3,-4.0,0.135,0.099,-0.028,6.0,2.0,2.0,-0.0
Chimere Dike,WR,1,0.5,4.6,-4.1,0.332,0.148,0.158,16.0,3.0,4.9,-0.9
Matthew Golden,WR,2,13.9,18.0,-4.1,0.322,0.124,0.194,4.0,0.0,1.1,-1.1
Sam LaPorta,TE,8,51.7,55.9,-4.2,0.399,0.185,0.175,6.0,0.0,2.1,0.9
Kimani Vidal,RB,7,67.8,72.2,-4.4,0.091,0.064,-0.009,32.0,5.0,6.7,-2.7
T.J. Hockenson,TE,4,16.2,20.9,-4.7,0.311,0.159,0.102,12.0,1.0,3.2,-0.2
Chuba Hubbard,RB,4,43.1,47.8,-4.7,0.108,0.088,-0.035,24.0,0.0,4.9,-0.9
Luke McCaffrey,WR,1,0.0,4.8,-4.8,0.22,0.087,0.128,2.0,0.0,0.7,2.3
Austin Ekeler,RB,2,8.1,13.0,-4.9,0.168,0.102,0.022,2.0,0.0,0.3,-0.3
Sterling Shepard,WR,2,5.6,10.8,-5.2,0.284,0.127,0.134,7.0,1.0,2.2,-1.2
Devin Singletary,RB,2,3.8,9.0,-5.2,0.095,0.068,-0.009,24.0,6.0,6.9,-1.9
Isiah Pacheco,RB,4,22.9,28.5,-5.6,0.141,0.098,-0.009,24.0,0.0,3.4,-1.4
Jayden Reed,WR,3,13.7,19.4,-5.7,0.344,0.171,0.126,4.0,0.0,0.8,0.2
Chris Rodriguez Jr.,RB,3,18.8,24.7,-5.9,0.067,0.04,0.014,34.0,6.0,7.5,-1.5
Jerome Ford,RB,1,0.5,6.5,-6.0,0.117,0.086,-0.017,10.0,1.0,2.6,-2.6
Josh Jacobs,RB,14,179.9,185.9,-6.0,0.133,0.109,-0.046,58.0,8.0,12.6,1.4
Omarion Hampton,RB,7,72.1,78.8,-6.7,0.156,0.118,-0.03,28.0,2.0,5.8,-0.8
Parker Washington,WR,3,24.6,31.6,-7.0,0.469,0.192,0.258,15.0,0.0,4.2,0.8
Justin Herbert,QB,13,231.8,239.0,-7.1,,,,100.0,7.0,29.6,-1.6
Michael Pittman Jr.,WR,6,61.3,68.8,-7.5,0.457,0.206,0.21,15.0,1.0,5.4,1.6
Tony Pollard,RB,9,75.9,83.5,-7.6,0.13,0.086,0.001,20.0,4.0,5.6,-0.6
Juwan Johnson,TE,2,9.1,16.9,-7.8,0.374,0.177,0.155,8.0,0.0,2.8,0.2
Jaylin Lane,WR,1,6.0,14.3,-8.3,0.237,0.095,0.134,2.0,0.0,0.8,-0.8
David Montgomery,RB,8,71.1,79.7,-8.5,0.088,0.058,0.002,38.0,9.0,10.6,-1.6
Russell Wilson,QB,1,5.1,13.8,-8.7,,,,27.0,3.0,8.5,-5.5
Zonovan Knight,RB,5,28.1,36.8,-8.7,0.135,0.084,0.014,22.0,7.0,6.6,-1.6
Kareem Hunt,RB,7,63.2,71.9,-8.7,0.08,0.053,0.0,43.0,12.0,10.6,-1.6
Cade Otton,TE,2,10.3,19.4,-9.1,0.342,0.174,0.116,6.0,0.0,2.3,-1.3
Colston Loveland,TE,4,21.2,30.4,-9.2,0.363,0.166,0.163,15.0,2.0,4.8,1.2
Hunter Henry,TE,9,59.4,69.3,-9.9,0.369,0.174,0.154,22.0,4.0,6.3,0.7
Evan Engram,TE,2,5.0,15.1,-10.1,0.308,0.137,0.147,10.0,0.0,2.2,-1.2
Chris Godwin,WR,3,11.1,21.6,-10.5,0.379,0.179,0.157,7.0,0.0,2.6,-0.6
Darnell Mooney,WR,1,1.1,11.7,-10.6,0.439,0.162,0.28,8.0,0.0,2.5,-1.6
Brock Bowers,TE,12,112.2,123.0,-10.8,0.526,0.234,0.25,17.0,1.0,4.7,2.3
Michael Carter,RB,4,30.5,41.5,-11.0,0.175,0.108,0.018,15.0,2.0,4.1,-3.1
Jayden Higgins,WR,2,12.8,24.7,-11.9,0.309,0.124,0.177,8.0,0.0,2.9,3.1
Andrei Iosivas,WR,2,6.6,19.7,-13.1,0.245,0.102,0.131,7.0,2.0,3.1,-1.1
Calvin Ridley,WR,3,10.2,23.5,-13.3,0.423,0.168,0.244,2.0,0.0,0.9,-0.9
Khalil Shakir,WR,2,10.8,24.5,-13.7,0.377,0.211,0.092,13.0,0.0,3.9,0.1
DJ Moore,WR,7,61.4,75.6,-14.2,0.381,0.161,0.199,14.0,3.0,5.5,2.5
Marquise Brown,WR,2,7.8,22.0,-14.2,0.351,0.142,0.197,10.0,0.0,3.7,1.3
Saquon Barkley,RB,16,195.3,209.8,-14.5,0.188,0.129,-0.008,50.0,4.0,10.4,-1.4
Mason Taylor,TE,4,21.4,36.3,-14.9,0.355,0.172,0.138,8.0,0.0,2.3,-1.3
Travis Hunter,WR,2,5.5,20.8,-15.3,0.387,0.175,0.177,6.0,0.0,1.8,-0.8
Harold Fannin Jr.,TE,7,56.9,73.1,-16.2,0.458,0.218,0.187,12.0,2.0,4.1,2.9
Oronde Gadsden,TE,6,29.3,45.6,-16.3,0.333,0.144,0.167,15.0,1.0,3.7,-0.7
C.J. Stroud,QB,5,79.0,95.3,-16.3,,,,63.0,7.0,22.1,-2.1
Rhamondre Stevenson,RB,7,54.0,70.7,-16.7,0.181,0.098,0.047,31.0,7.0,7.8,1.2
Patrick Mahomes,QB,13,271.6,288.8,-17.2,0.032,0.034,-0.028,105.0,9.0,32.2,-5.2
Chase Brown,RB,15,188.6,205.8,-17.2,0.224,0.143,0.015,47.0,5.0,11.5,-0.5
Tee Higgins,WR,9,99.8,117.4,-17.6,0.505,0.183,0.33,15.0,2.0,5.5,5.5
Jake Ferguson,TE,11,87.1,104.8,-17.7,0.31,0.165,0.095,24.0,3.0,7.5,0.5
Zach Ertz,TE,8,43.9,62.1,-18.2,0.431,0.193,0.203,8.0,1.0,3.1,0.9
Aaron Jones,RB,12,90.7,108.9,-18.2,0.203,0.141,-0.014,19.0,1.0,3.8,-0.8
David Njoku,TE,5,15.6,34.5,-18.9,0.251,0.125,0.091,9.0,1.0,2.4,1.6
Troy Franklin,WR,3,13.2,32.2,-19.0,0.469,0.182,0.28,18.0,3.0,5.6,0.4
Rachaad White,RB,7,57.2,76.2,-19.0,0.105,0.083,-0.027,28.0,7.0,7.4,-3.4
Keon Coleman,WR,5,33.0,52.1,-19.1,0.41,0.167,0.228,9.0,3.0,3.4,0.6
Deebo Samuel,WR,9,60.7,79.8,-19.1,0.475,0.254,0.134,16.0,1.0,5.4,0.6
Rashee Rice,WR,7,92.0,111.8,-19.8,0.531,0.29,0.137,21.0,1.0,6.9,-0.9
Mark Andrews,TE,9,45.9,66.0,-20.1,0.37,0.171,0.163,18.0,6.0,6.8,-0.8
Woody Marks,RB,7,50.4,70.8,-20.4,0.123,0.073,0.02,41.0,3.0,8.2,-3.2
Stefon Diggs,WR,11,92.8,113.3,-20.5,0.469,0.219,0.202,12.0,2.0,4.7,-0.7
Dalton Schultz,TE,7,47.7,69.9,-22.2,0.393,0.191,0.162,11.0,1.0,4.4,-1.4
Jauan Jennings,WR,9,72.4,96.6,-24.2,0.478,0.199,0.256,19.0,0.0,5.6,3.4
Garrett Wilson,WR,7,63.5,88.0,-24.5,0.925,0.354,0.563,4.0,0.0,1.4,2.6
Jerry Jeudy,WR,3,6.7,32.0,-25.3,0.555,0.205,0.354,9.0,0.0,3.1,-1.1
Kyle Pitts,TE,8,48.5,74.3,-25.8,0.492,0.227,0.216,12.0,0.0,4.4,0.6
Terry McLaurin,WR,8,54.9,81.2,-26.3,0.608,0.232,0.371,8.0,0.0,2.5,0.5
Javonte Williams,RB,14,170.4,197.4,-27.0,0.127,0.092,-0.019,66.0,13.0,15.6,-2.5
Jameson Williams,WR,7,72.4,99.5,-27.1,0.503,0.186,0.319,10.0,0.0,3.8,3.2
Tyreek Hill,WR,4,32.5,59.8,-27.3,0.688,0.239,0.471,2.0,0.0,1.1,-0.1
Michael Wilson,WR,5,64.2,92.6,-28.4,0.507,0.192,0.312,16.0,0.0,4.4,2.6
Xavier Worthy,WR,7,33.4,62.3,-28.9,0.428,0.161,0.268,6.0,1.0,2.4,-1.4
Alvin Kamara,RB,9,56.5,88.8,-32.3,0.18,0.117,0.008,20.0,1.0,4.1,-3.1
Romeo Doubs,WR,6,29.9,62.3,-32.4,0.479,0.189,0.28,17.0,3.0,5.4,0.6
Theo Johnson,TE,7,35.1,67.5,-32.4,0.375,0.172,0.166,14.0,2.0,4.2,0.8
Puka Nacua,WR,14,211.1,245.4,-34.3,0.675,0.301,0.319,18.0,3.0,7.2,3.8
Alec Pierce,WR,6,57.2,92.6,-35.4,0.548,0.176,0.406,9.0,0.0,2.8,3.3
Wan'Dale Robinson,WR,6,49.3,85.4,-36.1,0.653,0.303,0.285,13.0,0.0,4.9,-0.9
Jordan Addison,WR,5,33.1,69.7,-36.6,0.504,0.182,0.33,13.0,1.0,4.1,-0.1
Tyler Warren,TE,14,98.1,134.7,-36.6,0.425,0.215,0.147,26.0,2.0,8.1,-3.1
Marvin Harrison Jr.,WR,8,67.0,104.3,-37.3,0.502,0.181,0.33,10.0,1.0,3.6,0.4
George Pickens,WR,14,182.2,220.8,-38.6,0.563,0.225,0.322,23.0,4.0,7.8,1.3
Travis Kelce,TE,13,87.8,127.1,-39.3,0.427,0.2,0.181,13.0,3.0,5.1,-0.1
Christian McCaffrey,RB,15,294.2,334.5,-40.3,0.405,0.234,0.078,101.0,11.0,20.8,-3.8
Keenan Allen,WR,7,43.9,84.5,-40.6,0.49,0.221,0.228,16.0,1.0,5.5,-1.5
Ricky Pearsall,WR,5,33.1,73.8,-40.7,0.492,0.18,0.318,4.0,0.0,1.5,-1.5
Malik Nabers,WR,4,39.1,80.5,-41.4,0.713,0.271,0.439,4.0,0.0,1.8,0.2
Quentin Johnston,WR,9,71.8,117.3,-45.5,0.496,0.2,0.28,15.0,0.0,4.2,3.8
Jaxon Smith-Njigba,WR,16,232.5,280.7,-48.2,0.904,0.368,0.503,17.0,0.0,5.7,4.3
Trey McBride,TE,16,183.4,236.5,-53.1,0.59,0.279,0.246,33.0,4.0,9.4,1.6
Jakobi Meyers,WR,7,39.1,92.7,-53.6,0.541,0.229,0.282,17.0,1.0,5.0,-2.0
DK Metcalf,WR,15,128.2,181.9,-53.7,0.596,0.224,0.372,14.0,4.0,5.4,1.6
Tetairoa McMillan,WR,13,115.6,170.4,-54.8,0.708,0.257,0.459,15.0,1.0,5.0,2.0
Ladd McConkey,WR,13,97.8,154.0,-56.2,0.499,0.211,0.26,15.0,2.0,5.3,0.7
Jaylen Waddle,WR,12,97.2,154.6,-57.4,0.648,0.233,0.427,11.0,1.0,4.1,1.9
Amon-Ra St. Brown,WR,16,193.1,252.6,-59.5,0.746,0.317,0.387,36.0,2.0,11.0,0.0
Zay Flowers,WR,16,131.5,191.3,-59.8,0.701,0.299,0.36,12.0,0.0,3.9,2.1
Mike Evans,WR,6,38.2,98.9,-60.7,0.609,0.243,0.348,9.0,3.0,3.7,-0.7
Drake London,WR,11,120.1,185.0,-64.9,0.727,0.297,0.402,15.0,2.0,5.6,1.4
Chris Olave,WR,10,119.4,187.7,-68.3,0.725,0.292,0.41,16.0,1.0,5.9,3.1
Rome Odunze,WR,9,53.0,123.4,-70.4,0.602,0.236,0.353,12.0,2.0,4.5,1.5
Brian Thomas Jr.,WR,9,61.5,132.3,-70.8,0.511,0.193,0.316,8.0,0.0,3.2,-0.2
DeVonta Smith,WR,13,99.4,170.9,-71.5,0.594,0.246,0.321,11.0,0.0,3.7,0.3
A.J. Brown,WR,15,142.3,219.2,-76.9,0.678,0.287,0.355,13.0,0.0,4.3,2.6
Courtland Sutton,WR,12,98.5,178.8,-80.3,0.557,0.211,0.344,19.0,1.0,6.0,1.0
Emeka Egbuka,WR,12,96.0,177.6,-81.6,0.601,0.236,0.353,14.0,1.0,4.4,1.6
Nico Collins,WR,15,155.2,241.8,-86.6,0.609,0.242,0.351,19.0,2.0,6.4,0.6
Davante Adams,WR,14,162.9,250.5,-87.6,0.627,0.251,0.357,32.0,7.0,11.2,2.8
CeeDee Lamb,WR,12,125.5,226.5,-101.0,0.611,0.251,0.335,17.0,2.0,5.5,-2.5
Ja'Marr Chase,WR,15,173.0,274.8,-101.8,0.737,0.321,0.366,22.0,0.0,7.2,0.8
Justin Jefferson,WR,16,107.1,234.9,-127.8,0.741,0.307,0.401,18.0,3.0,6.5,-4.5
